session_id,relative_path,file_name,extension,file_size_bytes,is_image,view_id,target_index,shape,dtype,base_x_mm,base_y_mm,target_x_mm,target_y_mm,offset_mm,min,max,mean,sat_ratio,status
auto_capture_20260701_165437,auto_capture_20260701_165437/config_used.yaml,config_used.yaml,.yaml,1016,False,,,,,,,,,,,,,,
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0000_target_00.tif,view_0000_target_00.tif,.tif,6324480,True,0.0,0.0,1544x2048,uint16,0.0,0.0,0.0,0.0,0.0,1000.0,1743.0,1390.5426025390625,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0000_target_01.tif,view_0000_target_01.tif,.tif,6324480,True,0.0,1.0,1544x2048,uint16,0.0,0.0,-0.1,0.0,-0.1,1001.0,1718.0,1390.96533203125,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0000_target_02.tif,view_0000_target_02.tif,.tif,6324480,True,0.0,2.0,1544x2048,uint16,0.0,0.0,-0.2,0.0,-0.2,998.0,1731.0,1391.520263671875,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0001_target_00.tif,view_0001_target_00.tif,.tif,6324480,True,1.0,0.0,1544x2048,uint16,-13.1,0.0,-13.1,0.0,0.0,1000.0,1721.0,1392.2237548828125,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0001_target_01.tif,view_0001_target_01.tif,.tif,6324480,True,1.0,1.0,1544x2048,uint16,-13.1,0.0,-13.2,0.0,-0.1,1001.0,1726.0,1393.525634765625,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0001_target_02.tif,view_0001_target_02.tif,.tif,6324480,True,1.0,2.0,1544x2048,uint16,-13.1,0.0,-13.3,0.0,-0.2,1003.0,1749.0,1393.7218017578125,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0002_target_00.tif,view_0002_target_00.tif,.tif,6324480,True,2.0,0.0,1544x2048,uint16,-26.2,0.0,-26.2,0.0,0.0,1002.0,1735.0,1392.9439697265625,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0002_target_01.tif,view_0002_target_01.tif,.tif,6324480,True,2.0,1.0,1544x2048,uint16,-26.2,0.0,-26.3,0.0,-0.1,1002.0,1744.0,1394.0145263671875,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0002_target_02.tif,view_0002_target_02.tif,.tif,6324480,True,2.0,2.0,1544x2048,uint16,-26.2,0.0,-26.4,0.0,-0.2,1002.0,1748.0,1393.0350341796875,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0003_target_00.tif,view_0003_target_00.tif,.tif,6324480,True,3.0,0.0,1544x2048,uint16,-39.3,0.0,-39.3,0.0,0.0,1000.0,1746.0,1391.9840087890625,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0003_target_01.tif,view_0003_target_01.tif,.tif,6324480,True,3.0,1.0,1544x2048,uint16,-39.3,0.0,-39.4,0.0,-0.1,1001.0,1743.0,1391.94091796875,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0003_target_02.tif,view_0003_target_02.tif,.tif,6324480,True,3.0,2.0,1544x2048,uint16,-39.3,0.0,-39.5,0.0,-0.2,1000.0,1746.0,1392.921630859375,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0004_target_00.tif,view_0004_target_00.tif,.tif,6324480,True,4.0,0.0,1544x2048,uint16,-52.4,0.0,-52.4,0.0,0.0,863.0,1712.0,1366.425048828125,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0004_target_01.tif,view_0004_target_01.tif,.tif,6324480,True,4.0,1.0,1544x2048,uint16,-52.4,0.0,-52.5,0.0,-0.1,864.0,1714.0,1366.7158203125,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0004_target_02.tif,view_0004_target_02.tif,.tif,6324480,True,4.0,2.0,1544x2048,uint16,-52.4,0.0,-52.6,0.0,-0.2,863.0,1736.0,1364.9840087890625,0.0,ok
auto_capture_20260701_165437,auto_capture_20260701_165437/images/view_0005_target_00.tif,view_0005_target_00.tif,.tif,6324480,True,5.0,0.0,1544x2048,uint16,-65.5,0.0,-65.5,0.0,0.0,853.0,1685.0,1241.2615966796875,0.0,ok
