physical_group_id,base_x_mm,base_y_mm,session_count,cross_session_candidate,session_id,view_id
PL-0001,-78.6,-207.06,1,False,auto_capture_20260702_092708,48
PL-0002,-78.6,-197.2,1,False,auto_capture_20260702_092708,41
PL-0003,-78.6,-187.34,2,True,auto_capture_20260702_092708,34
PL-0003,-78.6,-187.34,2,True,auto_capture_20260702_133311,139
PL-0004,-78.6,-177.48,2,True,auto_capture_20260702_092708,27
PL-0004,-78.6,-177.48,2,True,auto_capture_20260702_133311,132
PL-0005,-78.6,-167.62,2,True,auto_capture_20260702_092708,20
PL-0005,-78.6,-167.62,2,True,auto_capture_20260702_133311,125
PL-0006,-78.6,-157.76,2,True,auto_capture_20260702_092708,13
PL-0006,-78.6,-157.76,2,True,auto_capture_20260702_133311,118
PL-0007,-78.6,-147.9,2,True,auto_capture_20260702_092708,6
PL-0007,-78.6,-147.9,2,True,auto_capture_20260702_133311,111
PL-0008,-78.6,-138.04,2,True,auto_capture_20260701_165437,104
PL-0008,-78.6,-138.04,2,True,auto_capture_20260702_133311,104
PL-0009,-78.6,-128.18,2,True,auto_capture_20260701_165437,97
PL-0009,-78.6,-128.18,2,True,auto_capture_20260702_133311,97
PL-0010,-78.6,-118.32,2,True,auto_capture_20260701_165437,90
PL-0010,-78.6,-118.32,2,True,auto_capture_20260702_133311,90
PL-0011,-78.6,-108.46,2,True,auto_capture_20260701_165437,83
PL-0011,-78.6,-108.46,2,True,auto_capture_20260702_133311,83
PL-0012,-78.6,-98.6,2,True,auto_capture_20260701_165437,76
PL-0012,-78.6,-98.6,2,True,auto_capture_20260702_133311,76
PL-0013,-78.6,-88.74,2,True,auto_capture_20260701_165437,69
PL-0013,-78.6,-88.74,2,True,auto_capture_20260702_133311,69
PL-0014,-78.6,-78.88,2,True,auto_capture_20260701_165437,62
PL-0014,-78.6,-78.88,2,True,auto_capture_20260702_133311,62
PL-0015,-78.6,-69.02,2,True,auto_capture_20260701_165437,55
PL-0015,-78.6,-69.02,2,True,auto_capture_20260702_133311,55
PL-0016,-78.6,-59.16,2,True,auto_capture_20260701_165437,48
PL-0016,-78.6,-59.16,2,True,auto_capture_20260702_133311,48
PL-0017,-78.6,-49.3,2,True,auto_capture_20260701_165437,41
